,X,Y,Z,Activity
457,-0.42,4.9,8.73,Upstairs
458,-0.54,4.82,8.62,Upstairs
459,-0.44,4.53,8.84,Upstairs
460,0.04,3.87,9.32,Upstairs
461,0.36,3.43,9.06,Upstairs
462,-0.77,3.73,9.47,Upstairs
463,-1.54,3.4,9.14,Upstairs
464,-2.46,3.26,8.99,Upstairs
465,-3.4,3.55,8.79,Upstairs
466,-2.14,3.0,9.14,Upstairs
467,-2.06,3.99,9.12,Upstairs
468,-0.69,3.38,8.73,Upstairs
469,-0.84,3.58,9.61,Upstairs
470,-0.91,3.93,9.06,Upstairs
471,-0.69,4.11,8.85,Upstairs
472,0.86,3.18,9.4,Upstairs
473,-0.02,3.51,9.32,Upstairs
474,-0.89,3.66,9.51,Upstairs
475,-0.54,2.8,9.4,Upstairs
476,-0.39,2.53,9.66,Upstairs
477,0.36,2.8,9.59,Upstairs
478,0.08,2.39,9.47,Upstairs
479,-0.2,2.39,9.61,Upstairs
480,0.03,2.56,9.58,Upstairs
481,-0.24,2.91,9.65,Upstairs
482,-0.51,3.07,9.36,Upstairs
483,-0.6,3.39,9.18,Upstairs
484,-0.12,3.26,9.45,Upstairs
485,0.18,3.3,9.44,Upstairs
486,-1.49,4.29,8.76,Upstairs
487,-1.96,4.88,8.39,Upstairs
488,-1.77,4.67,7.96,Upstairs
489,-0.03,2.83,9.8,Upstairs
490,-0.2,2.43,10.0,Upstairs
491,-0.61,3.19,9.17,Upstairs
492,-0.73,3.18,9.31,Upstairs
493,-0.78,3.25,9.17,Upstairs
494,-0.36,3.1,9.42,Upstairs
495,-0.27,2.39,9.64,Upstairs
496,-0.53,2.28,9.66,Upstairs
497,-0.2,2.22,9.78,Upstairs
498,-0.15,2.33,9.56,Upstairs
499,-0.22,2.34,9.69,Upstairs
500,-0.13,2.47,9.51,Upstairs
501,-0.41,2.52,9.7,Upstairs
502,-0.31,2.83,9.55,Upstairs
503,-0.47,2.93,9.39,Upstairs
504,-0.37,3.13,9.35,Upstairs
505,-0.48,3.07,9.68,Upstairs
506,-0.64,3.31,9.16,Upstairs
507,-0.37,3.52,9.26,Upstairs
508,-0.38,3.45,9.12,Upstairs
509,-0.17,3.03,9.55,Upstairs
510,-0.14,3.02,9.59,Upstairs
511,-0.2,3.1,9.17,Upstairs
512,-0.01,2.98,9.78,Upstairs
513,-0.22,3.2,9.36,Upstairs
514,-0.04,3.1,9.25,Upstairs
515,-0.08,3.1,9.64,Upstairs
516,0.06,3.06,9.36,Upstairs
517,-0.14,3.08,9.6,Upstairs
518,-0.23,3.47,9.34,Upstairs
519,-0.71,4.04,8.68,Upstairs
520,0.07,3.54,9.38,Upstairs
521,0.43,3.32,9.39,Upstairs
522,0.31,3.2,9.43,Upstairs
523,0.05,3.17,9.54,Upstairs
524,-0.15,3.51,9.28,Upstairs
525,-0.52,3.5,9.45,Upstairs
526,-1.5,2.63,9.56,Upstairs
527,-1.54,2.06,9.53,Upstairs
528,-1.25,2.57,9.14,Upstairs
529,-1.12,2.83,9.46,Upstairs
530,-1.21,2.91,9.55,Upstairs
531,-1.32,2.8,9.34,Upstairs
532,-1.4,2.81,9.59,Upstairs
533,-1.1,2.73,9.38,Upstairs
534,-0.67,2.56,9.26,Upstairs
535,-0.25,2.7,9.65,Upstairs
536,-0.45,2.74,9.55,Upstairs
537,-0.57,2.78,9.6,Upstairs
538,-0.55,2.98,9.52,Upstairs
539,-0.52,3.0,9.5,Upstairs
540,-0.57,3.11,9.28,Upstairs
541,-0.6,3.1,9.65,Upstairs
542,-0.54,3.4,9.26,Upstairs
543,-0.63,3.52,9.11,Upstairs
544,-0.68,3.41,9.3,Upstairs
545,-0.62,3.25,9.82,Upstairs
546,-1.0,3.31,8.37,Upstairs
547,-0.65,2.99,9.1,Upstairs
548,-0.48,3.17,10.21,Upstairs
549,-0.17,3.22,9.59,Upstairs
550,-0.71,3.14,9.12,Upstairs
551,-0.96,3.09,9.65,Upstairs
552,-0.58,3.05,9.92,Upstairs
553,-0.91,2.92,9.7,Upstairs
554,-0.62,3.14,8.9,Upstairs
555,-0.6,3.4,9.16,Upstairs
556,-0.39,3.39,9.32,Upstairs
557,-0.77,3.25,8.66,Upstairs
558,-0.43,3.24,9.39,Upstairs
559,-0.48,3.25,10.01,Upstairs
560,-0.41,3.45,10.07,Upstairs
561,-0.64,3.28,9.3,Upstairs
562,-0.7,3.39,8.79,Upstairs
563,-0.41,3.4,9.48,Upstairs
564,-0.66,3.08,9.49,Upstairs
565,-0.77,3.44,9.57,Upstairs
566,-0.46,3.33,9.59,Upstairs
567,-0.49,3.47,8.91,Upstairs
568,-0.49,3.4,8.67,Upstairs
569,-0.65,3.42,9.0,Upstairs
570,-0.5,3.49,9.84,Upstairs
571,-0.72,3.23,9.78,Upstairs
572,-0.83,3.26,9.56,Upstairs
573,-0.55,3.35,9.38,Upstairs
574,-0.42,3.43,8.84,Upstairs
575,-0.67,3.42,8.66,Upstairs
576,-0.71,3.26,9.17,Upstairs
577,-0.74,3.26,10.02,Upstairs
578,-0.7,3.18,9.96,Upstairs
579,-1.06,2.95,9.24,Upstairs
580,-0.79,3.01,9.15,Upstairs
581,-0.46,3.36,9.15,Upstairs
582,-0.35,3.4,9.08,Upstairs
583,-0.38,3.36,9.23,Upstairs
584,-0.62,3.33,9.18,Upstairs
585,-0.42,3.49,9.72,Upstairs
586,-0.51,3.52,9.45,Upstairs
587,-0.65,3.44,9.38,Upstairs
588,-0.77,3.35,9.43,Upstairs
589,-0.69,3.42,9.77,Upstairs
590,-0.68,3.33,9.98,Upstairs
591,-0.5,3.52,9.46,Upstairs
592,-0.24,3.39,9.4,Upstairs
593,-0.42,3.35,8.58,Upstairs
594,-0.39,3.41,8.65,Upstairs
595,-0.35,3.38,9.13,Upstairs
596,-0.49,3.4,9.68,Upstairs
597,-0.57,3.28,9.53,Upstairs
598,0.2,3.11,9.82,Upstairs
599,-0.37,3.31,9.4,Upstairs
600,-0.29,3.14,8.6,Upstairs
601,-0.24,3.24,9.11,Upstairs
602,-0.31,3.35,9.11,Upstairs
603,0.0,3.16,9.54,Upstairs
604,0.07,3.27,9.65,Upstairs
605,0.11,3.26,9.43,Upstairs
606,0.27,3.2,9.43,Upstairs
607,-0.23,3.32,9.3,Upstairs
608,-0.46,3.3,9.08,Upstairs
609,-0.61,3.32,9.21,Upstairs
610,-0.57,3.17,9.73,Upstairs
611,-0.49,3.08,10.08,Upstairs
612,-0.28,3.17,9.8,Upstairs
613,-0.43,3.26,9.21,Upstairs
614,-0.56,3.37,9.44,Upstairs
615,-0.57,3.36,8.71,Upstairs
616,-0.51,3.31,8.92,Upstairs
617,-0.33,3.41,9.7,Upstairs
618,-0.45,3.32,9.77,Upstairs
619,-0.69,3.44,9.7,Upstairs
620,-0.7,3.49,9.51,Upstairs
