3.27,4.56,8.2,Sitting
3.52,4.83,7.96,Sitting
3.86,4.97,8.51,Sitting
4.0,4.95,9.3,Sitting
4.02,4.97,9.6,Sitting
4.03,5.15,9.41,Sitting
4.28,5.38,9.37,Sitting
4.43,5.58,9.26,Sitting
4.47,5.66,9.22,Sitting
4.63,5.67,9.04,Sitting
4.38,5.86,8.52,Sitting
3.99,5.82,8.19,Sitting
3.8,5.52,8.2,Sitting
3.75,5.22,8.4,Sitting
3.44,4.91,8.96,Sitting
3.07,4.73,9.18,Sitting
2.63,4.7,8.85,Sitting
2.48,5.0,8.08,Sitting
2.49,5.48,7.66,Sitting
2.66,5.65,7.45,Sitting
2.58,5.74,7.37,Sitting
2.69,5.84,7.45,Sitting
2.77,5.83,7.51,Sitting
2.87,5.74,7.06,Sitting
2.62,5.78,6.82,Sitting
2.9,5.75,6.11,Sitting
3.27,6.46,5.42,Sitting
3.79,7.61,4.88,Sitting
3.82,8.39,5.1,Sitting
3.29,7.57,7.03,Sitting
3.9,6.22,10.66,Sitting
4.86,5.32,12.51,Sitting
3.96,5.23,12.65,Sitting
3.6,5.35,10.2,Sitting
3.2,5.67,7.47,Sitting
2.53,5.7,5.67,Sitting
2.13,5.37,4.58,Sitting
1.9,5.15,4.1,Sitting
1.8,4.74,4.27,Sitting
2.26,4.9,4.87,Sitting
2.49,5.44,5.05,Sitting
2.87,5.78,5.81,Sitting
3.38,6.12,6.66,Sitting
4.03,6.59,7.45,Sitting
4.52,7.07,7.57,Sitting
4.14,7.22,7.16,Sitting
3.43,7.0,6.68,Sitting
2.61,6.63,6.12,Sitting
2.35,6.21,5.18,Sitting
2.54,6.53,3.88,Sitting
2.02,6.93,3.17,Sitting
1.79,7.38,3.55,Sitting
2.73,7.83,6.15,Sitting
3.99,8.3,10.43,Sitting
5.37,9.14,14.33,Sitting
5.95,9.64,15.81,Sitting
5.14,9.03,13.75,Sitting
4.22,8.6,10.58,Sitting
2.87,7.88,7.67,Sitting
1.83,7.06,5.1,Sitting
0.82,6.61,2.66,Sitting
0.02,6.15,0.97,Sitting
-0.22,5.79,0.45,Sitting
0.26,5.1,0.59,Sitting
0.71,4.92,0.74,Sitting
0.86,5.06,0.96,Sitting
1.62,5.41,1.74,Sitting
3.37,6.22,3.97,Sitting
4.56,7.11,7.3,Sitting
6.01,8.17,9.9,Sitting
6.94,8.78,11.24,Sitting
7.14,8.68,10.36,Sitting
7.0,8.58,8.82,Sitting
5.93,8.35,6.75,Sitting
4.48,7.99,4.78,Sitting
3.28,7.64,3.47,Sitting
2.59,7.48,2.65,Sitting
2.23,7.28,2.21,Sitting
2.19,7.17,2.28,Sitting
2.1,7.12,2.1,Sitting
2.7,7.44,2.59,Sitting
3.42,7.81,4.04,Sitting
4.32,8.27,5.6,Sitting
5.85,8.7,7.94,Sitting
7.2,8.96,9.5,Sitting
7.42,9.34,9.38,Sitting
6.74,9.32,7.86,Sitting
5.95,8.83,5.97,Sitting
4.57,8.27,4.26,Sitting
3.91,7.63,3.53,Sitting
3.37,7.23,3.06,Sitting
2.99,6.84,2.43,Sitting
2.72,6.58,2.2,Sitting
2.85,6.77,2.56,Sitting
3.04,6.94,3.07,Sitting
3.57,7.32,3.68,Sitting
4.15,7.71,4.31,Sitting
4.83,8.03,5.39,Sitting
5.26,8.41,6.24,Sitting
5.86,8.39,6.3,Sitting
5.86,8.26,6.27,Sitting
5.05,8.21,5.74,Sitting
4.1,7.95,4.86,Sitting
3.16,7.64,4.51,Sitting
2.43,7.31,4.35,Sitting
2.21,7.33,4.16,Sitting
2.36,7.44,4.08,Sitting
2.84,7.8,4.44,Sitting
3.59,8.05,5.1,Sitting
4.67,8.64,5.98,Sitting
5.92,9.16,6.78,Sitting
6.72,9.94,6.74,Sitting
6.82,9.74,6.59,Sitting
5.64,9.33,6.2,Sitting
4.38,8.82,5.34,Sitting
3.25,8.27,4.37,Sitting
2.68,7.78,3.02,Sitting
1.91,7.06,1.58,Sitting
0.95,6.19,0.29,Sitting
0.17,5.86,-1.67,Sitting
1.05,8.25,-4.05,Sitting
4.03,9.85,5.91,Sitting
11.68,9.87,31.07,Sitting
13.1,7.92,32.02,Sitting
5.45,8.16,9.48,Sitting
-1.09,7.31,-5.16,Sitting
-4.91,4.64,-9.23,Sitting
-6.15,2.45,-9.12,Sitting
-5.8,1.54,-6.14,Sitting
-4.0,0.73,-2.84,Sitting
0.58,3.02,-2.86,Sitting
4.93,5.46,1.27,Sitting
4.39,5.95,9.57,Sitting
6.55,7.27,15.1,Sitting
9.69,9.39,16.37,Sitting
10.94,11.16,16.87,Sitting
10.0,10.75,17.65,Sitting
7.94,9.95,14.32,Sitting
6.17,9.49,9.25,Sitting
4.31,8.54,4.45,Sitting
1.14,7.26,-1.9,Sitting
-2.44,6.44,-9.1,Sitting
-2.52,6.06,-11.97,Sitting
-1.49,3.82,-5.91,Sitting
3.19,5.14,2.67,Sitting
6.99,6.55,12.84,Sitting
10.42,8.63,26.42,Sitting
12.74,9.62,28.89,Sitting
9.73,9.84,16.89,Sitting
3.27,8.38,2.58,Sitting
-3.07,6.04,-4.99,Sitting
-4.48,4.65,-7.31,Sitting
-3.2,3.85,-6.94,Sitting
-0.4,4.69,-5.53,Sitting
4.2,5.61,-1.41,Sitting
6.28,6.81,12.33,Sitting
7.98,7.71,22.75,Sitting
9.42,9.47,19.42,Sitting
8.66,10.17,11.51,Sitting
5.03,8.44,5.16,Sitting
-0.53,6.04,0.54,Sitting
-3.42,4.18,-2.62,Sitting
-3.53,3.41,-6.08,Sitting
-1.25,3.28,-8.78,Sitting
1.28,3.03,-7.61,Sitting
4.27,3.06,-1.85,Sitting
8.05,4.26,9.35,Sitting
13.48,6.54,23.4,Sitting
17.38,8.31,29.25,Sitting
15.25,9.81,22.74,Sitting
6.64,7.96,10.53,Sitting
-0.01,6.66,4.94,Sitting
-1.8,4.67,3.19,Sitting
-0.22,4.57,0.69,Sitting
1.6,4.81,-1.7,Sitting
2.81,4.94,-3.88,Sitting
2.9,4.63,-4.82,Sitting
3.32,3.87,-0.57,Sitting
4.48,3.63,8.78,Sitting
9.13,4.76,15.22,Sitting
11.72,6.44,17.24,Sitting
11.91,7.77,15.33,Sitting
10.16,7.85,11.61,Sitting
7.28,7.38,8.01,Sitting
4.16,6.37,5.07,Sitting
2.41,5.56,2.98,Sitting
2.38,4.83,1.39,Sitting
3.02,4.88,0.37,Sitting
3.64,4.71,1.02,Sitting
3.16,4.85,2.42,Sitting
3.94,5.68,3.03,Sitting
3.92,6.06,5.52,Sitting
4.69,6.03,9.58,Sitting
6.53,6.13,11.59,Sitting
7.96,6.79,10.24,Sitting
7.5,6.9,8.96,Sitting
7.2,6.32,8.02,Sitting
7.16,5.9,6.81,Sitting
7.04,5.63,5.41,Sitting
6.87,5.3,3.79,Sitting
6.78,4.96,2.16,Sitting
6.51,4.79,0.94,Sitting
5.82,4.27,1.27,Sitting
5.18,3.42,2.39,Sitting
5.11,3.34,3.0,Sitting
5.19,3.49,3.69,Sitting
5.14,3.61,3.33,Sitting
4.21,4.01,2.21,Sitting
3.22,4.5,1.69,Sitting
2.19,4.53,2.59,Sitting
2.37,4.72,4.91,Sitting
4.04,4.99,7.2,Sitting
6.38,5.95,7.88,Sitting
7.87,7.09,7.49,Sitting
8.04,7.73,7.1,Sitting
7.68,8.08,7.2,Sitting
7.38,8.06,8.18,Sitting
7.27,7.82,9.52,Sitting
7.22,7.62,10.46,Sitting
7.57,7.36,10.13,Sitting
8.13,6.7,9.92,Sitting
8.29,6.07,10.79,Sitting
8.04,5.42,10.76,Sitting
7.28,5.23,9.5,Sitting
6.84,5.25,7.31,Sitting
