,X,Y,Z,Activity
460,3.22,-9.05,-0.39,Standing
461,3.18,-9.39,-0.47,Standing
462,3.22,-9.71,-0.58,Standing
463,3.18,-9.6,-0.7,Standing
464,3.03,-9.29,-0.65,Standing
465,2.86,-9.05,-0.45,Standing
466,2.87,-9.02,-0.33,Standing
467,3.2,-9.34,-0.29,Standing
468,3.49,-9.42,-0.33,Standing
469,3.54,-9.24,-0.37,Standing
470,3.46,-9.14,-0.24,Standing
471,3.22,-9.16,-0.07,Standing
472,2.97,-9.26,-0.07,Standing
473,2.8,-9.4,-0.22,Standing
474,2.7,-9.53,-0.42,Standing
475,2.64,-9.63,-0.63,Standing
476,2.53,-9.59,-0.63,Standing
477,2.49,-9.5,-0.56,Standing
478,2.54,-9.41,-0.44,Standing
479,2.68,-9.38,-0.41,Standing
480,2.83,-9.42,-0.41,Standing
481,2.91,-9.38,-0.48,Standing
482,3.01,-9.32,-0.57,Standing
483,3.33,-9.16,-0.39,Standing
484,2.92,-9.36,-0.49,Standing
485,2.76,-9.44,-0.13,Standing
486,2.59,-9.47,-0.21,Standing
487,2.54,-9.45,-0.29,Standing
488,2.63,-9.4,-0.42,Standing
489,2.91,-9.39,-0.54,Standing
490,3.13,-9.39,-0.54,Standing
491,3.12,-9.34,-0.44,Standing
492,2.98,-9.37,-0.36,Standing
493,2.88,-9.45,-0.29,Standing
494,2.81,-9.51,-0.27,Standing
495,2.69,-9.5,-0.29,Standing
496,2.62,-9.56,-0.35,Standing
497,2.56,-9.62,-0.37,Standing
498,2.42,-9.6,-0.4,Standing
499,2.37,-9.6,-0.39,Standing
500,2.47,-9.61,-0.28,Standing
501,2.55,-9.54,-0.13,Standing
502,2.6,-9.42,-0.07,Standing
503,2.72,-9.35,-0.14,Standing
504,2.9,-9.3,-0.25,Standing
505,3.02,-9.33,-0.32,Standing
506,3.06,-9.36,-0.36,Standing
507,3.16,-9.38,-0.36,Standing
508,3.21,-9.34,-0.33,Standing
509,3.23,-9.28,-0.31,Standing
510,3.23,-9.27,-0.31,Standing
511,3.24,-9.27,-0.37,Standing
512,3.27,-9.26,-0.5,Standing
513,3.26,-9.26,-0.65,Standing
514,3.21,-9.31,-0.7,Standing
515,3.07,-9.34,-0.65,Standing
516,2.93,-9.33,-0.5,Standing
517,2.99,-9.36,-0.44,Standing
518,3.12,-9.39,-0.51,Standing
519,3.16,-9.31,-0.56,Standing
520,3.16,-9.19,-0.55,Standing
521,3.2,-9.24,-0.46,Standing
522,3.19,-9.32,-0.41,Standing
523,3.1,-9.35,-0.42,Standing
524,2.95,-9.34,-0.39,Standing
525,2.85,-9.44,-0.4,Standing
526,2.8,-9.51,-0.41,Standing
527,2.68,-9.43,-0.42,Standing
528,2.62,-9.33,-0.34,Standing
529,2.61,-9.39,-0.27,Standing
530,2.67,-9.54,-0.3,Standing
531,2.7,-9.6,-0.36,Standing
532,2.59,-9.56,-0.39,Standing
533,2.4,-9.5,-0.32,Standing
534,2.3,-9.57,-0.24,Standing
535,2.34,-9.71,-0.23,Standing
536,2.35,-9.74,-0.36,Standing
537,2.29,-9.63,-0.51,Standing
538,2.18,-9.5,-0.48,Standing
539,2.32,-9.45,-0.35,Standing
540,2.67,-9.45,-0.41,Standing
541,3.05,-9.5,-0.48,Standing
542,3.25,-9.48,-0.58,Standing
543,3.33,-9.35,-0.66,Standing
544,3.29,-9.21,-0.57,Standing
545,3.29,-9.14,-0.38,Standing
546,3.44,-9.13,-0.29,Standing
547,3.61,-9.11,-0.33,Standing
548,3.75,-9.09,-0.36,Standing
549,3.77,-8.99,-0.34,Standing
550,3.6,-8.97,-0.3,Standing
551,3.46,-9.15,-0.27,Standing
552,3.38,-9.44,-0.38,Standing
553,3.26,-9.42,-0.54,Standing
554,3.04,-9.26,-0.55,Standing
555,2.88,-9.18,-0.44,Standing
556,2.91,-9.32,-0.3,Standing
557,2.89,-9.38,-0.34,Standing
558,2.85,-9.34,-0.47,Standing
559,2.85,-9.34,-0.61,Standing
560,2.89,-9.4,-0.6,Standing
561,2.93,-9.43,-0.54,Standing
562,3.0,-9.49,-0.5,Standing
563,3.02,-9.57,-0.46,Standing
564,2.89,-9.61,-0.45,Standing
565,2.59,-9.54,-0.44,Standing
566,2.35,-9.45,-0.48,Standing
567,2.27,-9.62,-0.48,Standing
568,2.31,-9.72,-0.45,Standing
569,2.38,-9.65,-0.4,Standing
570,2.4,-9.42,-0.31,Standing
571,2.48,-9.36,-0.19,Standing
572,2.63,-9.45,-0.13,Standing
573,2.78,-9.47,-0.25,Standing
574,2.87,-9.36,-0.39,Standing
575,3.0,-9.29,-0.42,Standing
576,3.14,-9.35,-0.35,Standing
577,3.21,-9.33,-0.29,Standing
578,3.26,-9.33,-0.31,Standing
579,3.25,-9.35,-0.4,Standing
580,3.13,-9.42,-0.44,Standing
581,2.84,-9.43,-0.38,Standing
582,2.61,-9.42,-0.33,Standing
583,2.56,-9.48,-0.37,Standing
584,2.64,-9.53,-0.39,Standing
585,2.77,-9.48,-0.36,Standing
586,2.84,-9.4,-0.28,Standing
587,2.91,-9.38,-0.21,Standing
588,2.99,-9.41,-0.25,Standing
589,2.99,-9.42,-0.36,Standing
590,2.99,-9.3,-0.5,Standing
591,2.99,-9.27,-0.48,Standing
592,2.98,-9.32,-0.37,Standing
593,2.96,-9.38,-0.28,Standing
